program_id,estate_name,block_name,planned_date,program_item_id,fertilizer_name,planned_kg,actual_kg,remaining_kg,progress_percent
bc729a24-9feb-4e47-9dbe-80281c5b5efe,Kebun Kemang,K1,2026-01-01,0abcfb15-b4eb-4999-a733-af71efa9af9d,Urea,240,240,0,100.00
1e83205b-c6e3-4ca5-bfce-c61a117bf4ee,Kebun Kemang,K1,2026-01-09,1aa01c6f-d305-4f8a-bb56-c789412c1e58,Dolomit,160,160,0,100.00
1e83205b-c6e3-4ca5-bfce-c61a117bf4ee,Kebun Kemang,K1,2026-01-09,7f85bac6-1e10-47f9-bdf0-794a9aae1fca,"NPK 12.12.17.2+0,75B",400,400,0,100.00
4f02ca18-a0f9-40dd-a584-6d57325df130,Kebun Test,A01,2026-01-09,688efe97-6621-416c-a6cd-73af0576e1a5,Dolomit,54,53,1,98.15
4f02ca18-a0f9-40dd-a584-6d57325df130,Kebun Test,A01,2026-01-09,5cd2b1f1-94e8-4da4-aa13-9140f53e5039,"NPK 12.12.17.2+0,75B",135,130,5,96.30
3b5a0eba-fcf8-44ef-84e7-c7361a66ac5b,Kebun Kemang,K1,2026-03-09,3459d5bc-e66c-47fc-8d8e-f4a10d642ce9,Dolomit,160,160,0,100.00
3b5a0eba-fcf8-44ef-84e7-c7361a66ac5b,Kebun Kemang,K1,2026-03-09,4c0653c6-7983-4a7c-af00-63610b7bb2c3,"NPK 12.12.17.2+0,75B",400,400,0,100.00
3b5a0eba-fcf8-44ef-84e7-c7361a66ac5b,Kebun Kemang,K1,2026-03-09,b3e48db9-7d2d-4d84-96c2-db1d0ab76102,Urea,280,280,0,100.00
7362a725-1ae0-418d-a464-aa4cfebfbce7,Kebun Test,A01,2026-03-09,dc07c5ad-9d86-4ddf-ad03-28da66e5e52d,Dolomit,54,51,3,94.44
7362a725-1ae0-418d-a464-aa4cfebfbce7,Kebun Test,A01,2026-03-09,448ef3eb-424a-4943-8ac8-5880465fa004,"NPK 12.12.17.2+0,75B",135,134,1,99.26
7362a725-1ae0-418d-a464-aa4cfebfbce7,Kebun Test,A01,2026-03-09,c2c7e2c0-c6cd-477a-9372-40dcf88482ab,Urea,81,80,1,98.77
ef1bd7ba-bc43-4f70-a793-4817fb768c66,Kebun Kemang,K1,2026-06-09,c81e9570-1b11-438f-813c-c9ed10ffc5f2,Dolomit,240,240,0,100.00
ef1bd7ba-bc43-4f70-a793-4817fb768c66,Kebun Kemang,K1,2026-06-09,f30d81b8-c2a5-4639-8f78-aeed394ea9ef,"NPK 12.12.17.2+0,75B",600,300,300,50.00
e8246d1f-d139-4c64-9dba-172f896cc303,Kebun Test,A01,2026-06-09,951cf42a-50f0-4675-aa55-7c6d16720c5d,Dolomit,81,81,0,100.00
e8246d1f-d139-4c64-9dba-172f896cc303,Kebun Test,A01,2026-06-09,259fde04-d25b-4a7c-b525-7a84c860c4d7,"NPK 12.12.17.2+0,75B",202.5,202.5,0.0,100.00
d20d130f-c6d6-4674-9bf4-e5824d8f1f00,Kebun Test,A01,2026-08-15,91d80a0e-152b-4401-903b-24c870c6695f,Dolomit,81,0,81,0.00
1a39b084-0264-46a6-821e-f4ae57d4fd6d,Kebun Test,A01,2026-08-15,8e6b9422-f011-4620-9702-0718bc94ff5d,Dolomit,81,0,81,0.00
1a39b084-0264-46a6-821e-f4ae57d4fd6d,Kebun Test,A01,2026-08-15,ddcb6e1a-d630-40b4-9709-ba62e7c92e09,"NPK 12.12.17.2+0,75B",135,0,135,0.00
d20d130f-c6d6-4674-9bf4-e5824d8f1f00,Kebun Test,A01,2026-08-15,6631c0a0-f80d-4f78-add0-7ecb941a036e,"NPK 12.12.17.2+0,75B",135,0,135,0.00
d20d130f-c6d6-4674-9bf4-e5824d8f1f00,Kebun Test,A01,2026-08-15,5a44fd3d-caa6-4166-8847-90630bcd73e1,Urea,94.5,0,94.5,0.00
1a39b084-0264-46a6-821e-f4ae57d4fd6d,Kebun Test,A01,2026-08-15,371692ad-ecb7-48fc-ab35-d7951684b24e,Urea,81,0,81,0.00
2cd1ca81-cbe5-44bd-a31f-15450dee422c,Kebun Test,A01,2026-08-17,3674aa45-eff4-40ea-993f-5b3778b54d0f,Dolomit,81,0,81,0.00
2cd1ca81-cbe5-44bd-a31f-15450dee422c,Kebun Test,A01,2026-08-17,34b88cba-8ffe-4313-8f05-3852c7da2a25,"NPK 12.12.17.2+0,75B",202.5,0,202.5,0.00
2cd1ca81-cbe5-44bd-a31f-15450dee422c,Kebun Test,A01,2026-08-17,e256692a-34eb-4416-bb2a-0a7d703ef3f8,Urea,94.5,0,94.5,0.00
745f506d-cd3d-4992-b16a-247ee7dfc07c,Kebun Kemang,K1,2026-10-09,4cf6d8ea-2258-416f-bd90-1316ed46216d,Dolomit,240,0,240,0.00
745f506d-cd3d-4992-b16a-247ee7dfc07c,Kebun Kemang,K1,2026-10-09,db3b84c7-6aa1-4b47-aea7-658b06be3745,"NPK 12.12.17.2+0,75B",600,0,600,0.00
745f506d-cd3d-4992-b16a-247ee7dfc07c,Kebun Kemang,K1,2026-10-09,7fd2a3df-8e28-40fe-9a4d-0db125ab13d5,Urea,280,0,280,0.00
53f2f467-19bd-4140-8f44-f01a6f716998,Kebun Test,A01,2026-10-09,efbf44d9-5f2d-44ae-911f-b06e0a186552,Dolomit,81,0,81,0.00
53f2f467-19bd-4140-8f44-f01a6f716998,Kebun Test,A01,2026-10-09,fa2ad51d-166f-4810-a168-b17a5a564ce2,"NPK 12.12.17.2+0,75B",202.5,0,202.5,0.00
53f2f467-19bd-4140-8f44-f01a6f716998,Kebun Test,A01,2026-10-09,cf1e5370-97e9-480a-92a6-db8764822d59,Urea,94.5,0,94.5,0.00
